Venue,Review ID,review,N/C,Tone
ShitMyReviews,,"There is too much detail provided which is not relevant to the paper, or any for that matter.",3,3
ShitMyReviews,,"And the Vygotsky reference is a straight-up drive-by citation, adding nothing except whatever luster he adds to the authors' claims.",3,2
ICLR,B11bwYgfM_R3,"I also think that the authors might benefit from dropping the whole few shot learning angle here , and instead do a more thorough job of evaluating their multitask learning method .""",4,1
ICLR,BJE-4xW0W_R2,a misleading formulation .,4,3
Publons,VMS3-2020-Oct-0481,"Dear authors,  
 The review article needs a lot of improvements in terms of ideas, sections arrangements, as well as language. Please check the attached file.",4,1
NIPS,130,The paper presents novel reinforcement learning algorithms for environments with rich observations. The paper lacks experiments but has some theoretical justifications. Impact of the submission is thus unclear to me.,2,1
ICLR,Hyp3i2xRb_R1,"- Significance : While looking at RNN from an iterative estimation is interesting , the experimental part does not really show what are the advantages of the propose RIN .",4,2
ShitMyReviews,,I don't think this study would add anything to either theory or practice,2,1
ShitMyReviews,,"This is a potentially interesting problem. Yet, not all potentially interesting problems are useful, such as this one.",2,2
ShitMyReviews,,"The research claims these phenomena are ""understudied,â€ as though there is some amount of study they should endure.",2,2
ICLR,HymuJz-A-_R1,I do think that breakdown of networks by testing on increasing image variability is expected given that there is no reason that networks should generalize well to parts of input space that were never encountered before .,4,2
Publons,VMS3-2020-Dec-0585.R1,"Thank you for addressing my concerns.  
 I still suggest minor changes that you can do at the time of Proof Editing.  
 L 166: please add ""stenotic"" before healing  
 L280: please reference this statement  
 L288, L291: please avoid to use the term ""random"" flaps as it is not appropriate definition. Replace random with local. Please check throughout the text.",5,1
ShitMyReviews,,"The odds ratios in Table 2 are like the plains of Kansas: flat, flat flat!",3,2
ShitMyReviews,,This code sample cannot be adequately described without the use of strong language.,1,3
ICLR,B1EVwkqTW_R1,"In my opinion the introduction of SVM can be shortened , and more focuses can be put on related deep learning methods and few shot learning . """,5,1
ICLR,B16yEqkCZ_R3,""" The paper studies catastrophic forgetting , which is an important aspect of deep reinforcement learning ( RL ) .",3,1
ShitMyReviews,,The authors avoid making mistakes in the analysis of the data by not making any.,1,2
Publons,ITEES-20-0412,"This manuscript introduces the methods of cogging torque suppression, such as skew, pole arc offset, fragmented magnet structure, opening notch on magnet and stator, and slot opening, but they are all very common methods to suppress cogging torque, and the authors did not show the difference from the existing references. The innovation of this manuscript is insufficient.",4,2
ICLR,rytstxWAW_R3,"3 . As a concrete step towards grounding the proposed method on state of the art results , I would love to see at least one experiment with the same ( original ) data splits used in previous papers .",4,3
ShitMyReviews,,The stimuli are impossible to compute.,2,1
ICLR,SySaJ0xCZ_R3,I think further work is required ( perhaps expanding the search space ) to resolve the current limitations of automated architecture search .,4,3
ICLR,rkPLzgZAZ_R1,"This necessarily introduces a number of Overall , I am not sure what I have learned with this paper .",2,2
ShitMyReviews,,Preliminary and intriguing results that should be published elsewhere.,2,2
ICLR,ryjw_eAaZ_R1,"However , the reviewer indeed finds a major technical flaw in the paper .",3,2
ICLR,Hymt27b0Z_R1,"In Algorithm 1 , why do the samples have to be inside the loop ?",4,2
ICLR,B16yEqkCZ_R1,The motivation in the appendix is very informal and no clear derivation is provided .,3,3
ICLR,ryykVe-0W_R2,"In other words , estimating the joint dependence of the source coordinates is not necessary ; it is worthwhile to avoid it .",4,2
ICLR,HytSvlWRZ_R1,"The scale of the improvement of the subspace difference is quite tiny , in the order of 1e 2 when compared to U , and of 1e 5 across iterations .",4,3
ICLR,HyrCWeWCb_R1,- Trust PCL ( off policy ) significantly outperform TRPO in terms of data efficiency and final performance .,3,2
Publons,VMS3-2020-Apr-0154,It may be useful to briefly describe how the ELISA test is performed.,4,1
ShitMyReviews,,"suggesting much but saying nothing of import, the sort of balderdash that is in the vernacular often compared to the waste of certain male ruminants.",1,2
NIPS,630,"The introduction claims that ""these shape constraints do not require tuning a free parameter"". While technically true, the *choice* of employing a convex or concave constraint, and an increasing/decreasing constraint, can be seen as a hyperparameter that needs to be chosen or tuned. ",4,3
ICLR,rytstxWAW_R3,I had already absorbed the original notation and had to go back and forth to translate to the new one .,2,2
ShitMyReviews,,"In any aspect that this paper is different from XXX et al., (20XX), it shouldn't be",2,2
NIPS,50,"The S2V-DQN baseline is quite weak. Out of the considered learning based approaches (ie NCO, ASTSP, the authors' method and S2V-DQN), S2V-DQN is the only method that considers a single solution.  NCO and ASTSP can easily consider multiple solutions (by sampling) but it looks like the authors use the greedy version ASTSP only (this is hard to tell from the rebuttal but given that ASTSP solves 0% while random search solves 12.7% this seems to be the case).",5,1
ShitMyReviews,,I would suggest the authors to have some native English speaking to go through it,1,2
ShitMyReviews,,"Why don't you just send copies of this to the two people in the world who care about it, and forget the publication route?",1,2
ICLR,HylgYB3pZ_R3,"Further , the phenomenon is only tested on random initialization .",3,1
ICLR,B12Js_yRb_R1,- The paper doesnt study a simple baseline that just does NMS on the proposal domain .,4,2
ICLR,Hyp3i2xRb_R2,""" Here are my main critics of the papers : 1 .",2,1
ShitMyReviews,,"The introduction, general approach and data analyses are somewhat anachronistic–this study would have been really interesting 10-15 years ago, but now it seems quite out of date.",2,1
ICLR,rytNfI1AZ_R2,""" The authors propose to train neural networks with 1bit weights by storing and updating full precision weights in training , but using the reduced 1bit version of the network to compute predictions and gradients in training .",2,1
NIPS,630,"Unless I missed something, unconstrained neural nets are still often the best model on half of the tasks. After thinking about it, this is not surprising. It would be nice to guide the readers toward acknowledging this.  - Notation: the x[d] notation is used in eqn 1 before being defined on line 133. ",4,2
ShitMyReviews,,N/A. (Full review text),1,1
ICLR,rywHCPkAW_R1,"However for some games , the weights of the penultimate layer seem to increase .",3,2
ICLR,B13njo1R-_R3,But I find the paper lacking a lot of details and to some extend confusing .,3,2
Publons,DOM-20-0185-OP,"Excellent paper. Well analyzed and well written. 
  
 To ease readability, propose you include in the title of each figure it's outcome - i.e. - A - changes in HbA1c and also include the units. While this may not be mandatory for the main paper if the legends appear besides the figures, it would be very useful in the supplement.",4,1
ShitMyReviews,,"But fundamentally, why did you bother?",1,2
ICLR,rywHCPkAW_R1,2 Noisy Net reduces the number of hyperparameters .,3,1
ICLR,HypkN9yRW_R2,"Overall : I think the research work in the paper is interesting and significant , but given the current presentation and level of detail in the paper , I dont think it will be helpful for the research community .",2,2
Publons,ACP-2021-9994.R1,"Thank you for the opportunity to review this interesting paper. It can be accepted to publication; however, in your eFigure 1, in the 'Excluded' box, the text still seems to be cut ('Suicide attempt not recorded in ED or' is what I see in a pdf file and I cannot see what's after 'or'). Please make sure to check it.",3,1
Publons,ITEES-19-1107.R1,"In the new version presented by the authors, the paper conforms to the standards in structure and in nomenclature. However, this reviewer noted that there are still some paragraphs using the word substation to transformer (see, for example, Figure 1). However, for this reviewer the paper is now complete.",4,1
ICLR,HymuJz-A-_R2,"However , this suspicion on my part is actually a reason I think it might be * good * for this paper to be published at ICLR .",2,1
ICLR,HymYLebCb_R2,A novelty of this work seems to be transforming a graph into an image .,3,2
ICLR,B14TlG-RW_R2,The current version tends to mix everything together and makes the misleading claim .,3,2
